year;month;day;plot;subplot;species;individuals
2015;4;20;1;A1;BEMA;2
2016;3;15;1;A1;BEMA;1
2017;5;8;1;A1;BEMA;1
2018;5;22;1;A1;BEMA;0
2019;5;14;1;A1;BEMA;0
2015;4;20;2;A1;BEMA;0
2016;3;15;2;A1;BEMA;2
2017;5;8;2;A1;BEMA;0
2018;5;22;2;A1;BEMA;0
2019;5;14;2;A1;BEMA;0
2015;4;20;3;A1;BEMA;0
2016;3;15;3;A1;BEMA;1
2017;5;8;3;A1;BEMA;0
2018;5;22;3;A1;BEMA;0
2019;5;14;3;A1;BEMA;0
2015;4;20;4;A1;BEMA;0
2016;3;15;4;A1;BEMA;6
2017;5;8;4;A1;BEMA;0
2018;5;22;4;A1;BEMA;0
2019;5;14;4;A1;BEMA;0
2015;4;20;5;A1;BEMA;0
2016;3;15;5;A1;BEMA;1
2017;5;8;5;A1;BEMA;0
2018;5;22;5;A1;BEMA;0
2019;5;14;5;A1;BEMA;0
2015;4;20;6;A1;BEMA;1
2016;3;15;6;A1;BEMA;1
2017;5;8;6;A1;BEMA;0
2018;5;22;6;A1;BEMA;0
2019;5;14;6;A1;BEMA;0
2015;4;20;7;A1;BEMA;0
2016;3;15;7;A1;BEMA;15
2017;5;8;7;A1;BEMA;0
2018;5;22;7;A1;BEMA;0
2019;5;20;7;A1;BEMA;20
2015;4;20;8;A1;BEMA;0
2016;3;15;8;A1;BEMA;9
2017;5;8;8;A1;BEMA;1
2018;5;22;8;A1;BEMA;0
2019;5;20;8;A1;BEMA;30
2015;4;20;9;A1;BEMA;0
2016;3;15;9;A1;BEMA;3
2017;5;8;9;A1;BEMA;1
2018;5;22;9;A1;BEMA;0
2019;5;20;9;A1;BEMA;0
2015;4;20;1;A2;BEMA;3
2016;3;15;1;A2;BEMA;3
2017;5;8;1;A2;BEMA;0
2018;5;22;1;A2;BEMA;0
2019;5;14;1;A2;BEMA;0
2015;4;20;2;A2;BEMA;3
2016;3;15;2;A2;BEMA;4
2017;5;8;2;A2;BEMA;0
2018;5;22;2;A2;BEMA;0
2019;5;14;2;A2;BEMA;0
2015;4;20;3;A2;BEMA;0
2016;3;15;3;A2;BEMA;2
2017;5;8;3;A2;BEMA;0
2018;5;22;3;A2;BEMA;0
2019;5;14;3;A2;BEMA;0
2015;4;20;4;A2;BEMA;0
2016;3;15;4;A2;BEMA;1
2017;5;8;4;A2;BEMA;0
2018;5;22;4;A2;BEMA;0
2019;5;14;4;A2;BEMA;0
2015;4;20;5;A2;BEMA;0
2016;3;15;5;A2;BEMA;1
2017;5;8;5;A2;BEMA;0
2018;5;22;5;A2;BEMA;0
2019;5;14;5;A2;BEMA;0
2015;4;20;6;A2;BEMA;2
2016;3;15;6;A2;BEMA;3
2017;5;8;6;A2;BEMA;0
2018;5;22;6;A2;BEMA;0
2019;5;14;6;A2;BEMA;0
2015;4;20;7;A2;BEMA;0
2016;3;15;7;A2;BEMA;14
2017;5;8;7;A2;BEMA;0
2018;5;22;7;A2;BEMA;0
2019;5;20;7;A2;BEMA;25
2015;4;20;8;A2;BEMA;0
2016;3;15;8;A2;BEMA;12
2017;5;8;8;A2;BEMA;0
2018;5;22;8;A2;BEMA;0
2019;5;20;8;A2;BEMA;15
2015;4;20;9;A2;BEMA;0
2016;3;15;9;A2;BEMA;7
2017;5;8;9;A2;BEMA;0
2018;5;22;9;A2;BEMA;0
2019;5;20;9;A2;BEMA;0
2015;4;20;1;A3;BEMA;0
2016;3;15;1;A3;BEMA;4
2017;5;8;1;A3;BEMA;0
2018;5;22;1;A3;BEMA;0
2019;5;14;1;A3;BEMA;0
2015;4;20;2;A3;BEMA;1
2016;3;15;2;A3;BEMA;4
2017;5;8;2;A3;BEMA;0
2018;5;22;2;A3;BEMA;0
2019;5;14;2;A3;BEMA;0
2015;4;20;3;A3;BEMA;0
2016;3;15;3;A3;BEMA;4
2017;5;8;3;A3;BEMA;0
2018;5;22;3;A3;BEMA;0
2019;5;14;3;A3;BEMA;0
2015;4;20;4;A3;BEMA;0
2016;3;15;4;A3;BEMA;1
2017;5;8;4;A3;BEMA;0
2018;5;22;4;A3;BEMA;0
2019;5;14;4;A3;BEMA;1
2015;4;20;5;A3;BEMA;0
2016;3;15;5;A3;BEMA;1
2017;5;8;5;A3;BEMA;0
2018;5;22;5;A3;BEMA;0
2019;5;14;5;A3;BEMA;0
2015;4;20;6;A3;BEMA;0
2016;3;15;6;A3;BEMA;1
2017;5;8;6;A3;BEMA;0
2018;5;22;6;A3;BEMA;0
2019;5;14;6;A3;BEMA;0
2015;4;20;7;A3;BEMA;0
2016;3;15;7;A3;BEMA;16
2017;5;8;7;A3;BEMA;2
2018;5;22;7;A3;BEMA;0
2019;5;20;7;A3;BEMA;30
2015;4;20;8;A3;BEMA;0
2016;3;15;8;A3;BEMA;2
2017;5;8;8;A3;BEMA;0
2018;5;22;8;A3;BEMA;0
2019;5;20;8;A3;BEMA;6
2015;4;20;9;A3;BEMA;0
2016;3;15;9;A3;BEMA;6
2017;5;8;9;A3;BEMA;0
2018;5;22;9;A3;BEMA;0
2019;5;20;9;A3;BEMA;0
2015;4;20;1;A4;BEMA;1
2016;3;15;1;A4;BEMA;2
2017;5;8;1;A4;BEMA;0
2018;5;22;1;A4;BEMA;0
2019;5;14;1;A4;BEMA;0
2015;4;20;2;A4;BEMA;4
2016;3;15;2;A4;BEMA;1
2017;5;8;2;A4;BEMA;0
2018;5;22;2;A4;BEMA;2
2019;5;14;2;A4;BEMA;0
2015;4;20;3;A4;BEMA;0
2016;3;15;3;A4;BEMA;2
2017;5;8;3;A4;BEMA;0
2018;5;22;3;A4;BEMA;1
2019;5;14;3;A4;BEMA;0
2015;4;20;4;A4;BEMA;0
2016;3;15;4;A4;BEMA;1
2017;5;8;4;A4;BEMA;0
2018;5;22;4;A4;BEMA;0
2019;5;14;4;A4;BEMA;2
2015;4;20;5;A4;BEMA;1
2016;3;15;5;A4;BEMA;1
2017;5;8;5;A4;BEMA;0
2018;5;22;5;A4;BEMA;0
2019;5;14;5;A4;BEMA;0
2015;4;20;6;A4;BEMA;0
2016;3;15;6;A4;BEMA;1
2017;5;8;6;A4;BEMA;0
2018;5;22;6;A4;BEMA;0
2019;5;14;6;A4;BEMA;0
2015;4;20;7;A4;BEMA;0
2016;3;15;7;A4;BEMA;10
2017;5;8;7;A4;BEMA;0
2018;5;22;7;A4;BEMA;0
2019;5;20;7;A4;BEMA;15
2015;4;20;8;A4;BEMA;0
2016;3;15;8;A4;BEMA;13
2017;5;8;8;A4;BEMA;0
2018;5;22;8;A4;BEMA;0
2019;5;20;8;A4;BEMA;4
2015;4;20;9;A4;BEMA;0
2016;3;15;9;A4;BEMA;10
2017;5;8;9;A4;BEMA;0
2018;5;22;9;A4;BEMA;0
2019;5;20;9;A4;BEMA;0
2015;4;20;1;A5;BEMA;0
2016;3;15;1;A5;BEMA;2
2017;5;8;1;A5;BEMA;0
2018;5;22;1;A5;BEMA;0
