Plot;Subplot;Plant_Simple;G_F;Visits;num.plantas;Fruit;Seed
3;A6;CHFU;Hoverflies;3;4;1;76
3;D3;CHFU;Hoverflies;2;1;0;0
3;F2;CHFU;Hoverflies;1;5;2;152
5;A3;CHFU;Hoverflies;2;16;3;228
5;C3;CHFU;Hoverflies;2;4;5;380
5;C4;CHFU;Small_flies;1;2;1;76
5;F5;CHFU;Small_flies;1;6;5;380
5;F6;CHFU;Hoverflies;3;1;0;0
5;F6;CHFU;Hoverflies;1;1;0;0
8;A3;CHFU;Hoverflies;1;28;15;1140
8;A6;CHFU;Hoverflies;1;60;10;760
9;A6;CHFU;Small_flies;1;19;4;304
9;B1;CHFU;Small_flies;1;60;2;152
8;B3;CHFU;Hoverflies;1;22;10;760
9;C1;CHFU;Hoverflies;1;50;1;76
9;C3;CHFU;Hoverflies;1;35;2;152
9;C6;CHFU;Small_flies;1;9;1;76
9;C6;CHFU;Hoverflies;1;9;1;76
8;D1;CHFU;Hoverflies;3;1;7;532
9;D4;CHFU;Hoverflies;1;100;4;304
1;A2;CHFU;Small_flies;1;1;1;76
1;B2;CHFU;Hoverflies;1;3;2;152
2;A3;CHFU;Small_flies;1;7;2;152
3;C3;CHFU;Hoverflies;1;4;1;76
4;A5;CHFU;Hoverflies;1;5;5;380
5;A3;CHFU;Small_flies;1;16;3;228
5;A5;CHFU;Small_flies;1;5;2;152
5;B2;CHFU;Small_flies;1;17;11;836
6;A2;CHFU;Small_beetles;1;14;3;228
7;B5;CHFU;Small_flies;1;32;9;684
7;C2;CHFU;Small_flies;1;2;5;380
7;C5;CHFU;Small_flies;1;4;4;304
7;E2;CHFU;Small_flies;1;2;3;228
8;A4;CHFU;Small_flies;1;50;7;532
8;D6;CHFU;Hoverflies;1;35;5;380
9;D3;CHFU;Hoverflies;1;80;3;228
9;E4;CHFU;Small_flies;1;60;3;228
5;D2;CHFU;Small_flies;2;9;15;1140
6;A6;CHFU;Small_flies;1;20;2;152
6;E5;ME;Hoverflies;1;1;0;0
6;F2;CHFU;Bees;1;35;6;456
9;A2;CHFU;Hoverflies;1;20;5;380
9;A4;CHFU;Small_flies;1;3;2;152
9;C3;CHFU;Hoverflies;1;35;2;152
9;C5;CHFU;Hoverflies;1;30;3;228
9;E3;LEMA;Hoverflies;1;1;0;0
9;E4;CHFU;Hoverflies;1;60;3;228
9;E5;CHFU;Bees;1;20;2;152
1;C5;CHFU;Small_flies;1;4;2;152
1;C5;CHFU;Small_flies;1;4;2;152
2;B1;CHFU;Small_flies;1;3;2;152
2;F3;LEMA;Bees;1;35;4;256
3;D2;CHFU;Small_beetles;1;3;1;76
3;E2;CHFU;Small_flies;1;1;1;76
4;A2;CHFU;Bees;1;20;5;380
4;A6;CHFU;Hoverflies;1;3;3;228
