node_id,module,layer_id,type,species,layer_name,Line
1,1,1,plant,7 A1 CHFU,CHFU,3
2,4,3,plant,7 A4 LEMA,LEMA,3
3,1,1,plant,7 A5 CHFU,CHFU,3
4,14,3,plant,7 A5 LEMA,LEMA,3
5,7,4,plant,7 A5 ME,ME,3
6,1,3,plant,7 A6 LEMA,LEMA,3
7,2,5,plant,7 A6 PUPA,PUPA,3
8,1,1,plant,7 B1 CHFU,CHFU,3
9,1,1,plant,7 B2 CHFU,CHFU,3
10,1,1,plant,7 B3 CHFU,CHFU,3
11,5,3,plant,7 B3 LEMA,LEMA,3
12,7,4,plant,7 B3 ME,ME,3
13,1,1,plant,7 B4 CHFU,CHFU,3
14,5,3,plant,7 B4 LEMA,LEMA,3
15,2,5,plant,7 B4 PUPA,PUPA,3
16,1,1,plant,7 B5 CHFU,CHFU,3
17,5,3,plant,7 B5 LEMA,LEMA,3
18,7,4,plant,7 B5 ME,ME,3
19,2,5,plant,7 B5 PUPA,PUPA,3
20,1,1,plant,7 B6 CHFU,CHFU,3
21,4,3,plant,7 B6 LEMA,LEMA,3
22,6,3,plant,7 C1 LEMA,LEMA,3
23,5,1,plant,7 C2 CHFU,CHFU,3
24,18,3,plant,7 C2 LEMA,LEMA,3
25,2,5,plant,7 C2 PUPA,PUPA,3
26,27,1,plant,7 C3 CHFU,CHFU,3
27,3,3,plant,7 C3 LEMA,LEMA,3
28,25,5,plant,7 C3 PUPA,PUPA,3
29,5,3,plant,7 C4 LEMA,LEMA,3
30,2,5,plant,7 C4 PUPA,PUPA,3
31,1,1,plant,7 C5 CHFU,CHFU,3
32,4,3,plant,7 C5 LEMA,LEMA,3
33,1,1,plant,7 C6 CHFU,CHFU,3
34,7,3,plant,7 C6 LEMA,LEMA,3
35,13,1,plant,7 D1 CHFU,CHFU,3
36,9,2,plant,7 D1 CHMI,CHMI,3
37,4,3,plant,7 D1 LEMA,LEMA,3
38,6,1,plant,7 D2 CHFU,CHFU,3
39,1,3,plant,7 D2 LEMA,LEMA,3
